,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
98,0.0,Cai Villas De Granada ,2.5 km,7,7.220870423971701
104,0.0,Cai Jaboque ,2.0 km,7,7.220870423971701
218,1.0,Estación Bosa ,1.3 km,5,6.590791712152753
221,1.0,Cai Piamonte ,1.0 km,4,6.590791712152753
223,1.0,Cai Laureles ,1.3 km,4,6.590791712152753
236,1.0,Estación  ,1.8 km,8,6.590791712152753
240,1.0,Cai Antonia Santos ,0.8 km,3,6.590791712152753
427,3.0,Cai Versalles ,1.4 km,5,2.9593243387289996
428,3.0,Cai Santander ,1.9 km,8,2.9593243387289996
652,211.0,Estación Antonio Nariño ,0.3 km,2,1.5016567730358827
654,211.0,Cai Villa Mayor ,2.4 km,8,1.5016567730358827
655,211.0,Cai Valvanera ,0.3 km,2,1.5016567730358827
660,211.0,Cai Restrepo ,1.5 km,6,1.5016567730358827
668,211.0,Estación Rafael Uribe ,1.4 km,7,1.5016567730358827
672,211.0,Cai Centenario ,0.5 km,3,1.5016567730358827
680,211.0,Cai Gustavo Restrepo ,0.5 km,3,1.5016567730358827
683,211.0,Cai San Jorge ,0.5 km,3,1.5016567730358827
799,5.0,Cai Aures ,1.7 km,8,10.23806100125259
807,5.0,Cai Rincón ,0.7 km,4,10.23806100125259
954,6.0,Cai Ferias ,1.8 km,7,7.220870423971701
970,6.0,Cai Santa María Del Lago ,2.5 km,7,7.220870423971701
1036,232.0,Cai Navarra ,3.7 km,7,1.1679465651794496
1151,232.0,Cai Siete De Agosto ,1.7 km,8,1.1679465651794496
1152,232.0,Cai Rio Negro ,2.5 km,8,1.1679465651794496
1155,232.0,Cai Modelo ,3.0 km,8,1.1679465651794496
1157,232.0,Estación Barrios Unidos ,1.9 km,6,1.1679465651794496
1158,232.0,Cai Polo Club ,1.1 km,6,1.1679465651794496
1161,232.0,Cai Alcanzares ,1.3 km,5,1.1679465651794496
1286,12.0,Estación Fontibón ,1.4 km,7,2.9593243387289996
1297,12.0,Cai Versalles ,1.3 km,6,2.9593243387289996
1299,12.0,Cai Santander ,1.0 km,5,2.9593243387289996
1440,7.0,Cai Tunal ,2.2 km,7,1.651398178144416
1441,7.0,Cai San Carlos ,0.9 km,3,1.651398178144416
1630,8.0,Cai Delicias ,2.6 km,8,1.651398178144416
1786,9.0,Cai Libertad ,0.4 km,2,6.590791712152753
1790,9.0,Cai Metrovivienda ,2.0 km,6,6.590791712152753
1798,9.0,Cai Brasilia ,1.4 km,5,6.590791712152753
1896,10.0,Cai Toberin ,0.6 km,3,4.601013191631184
1897,10.0,Cai Verbenal ,2.7 km,7,4.601013191631184
2008,10.0,Cai Villa Del Prado ,2.0 km,6,4.601013191631184
2094,212.0,Cai San Victorino ,1.2 km,7,4.942820703104401
2204,212.0,Estación Mártires ,0.8 km,4,4.942820703104401
2210,212.0,Cai Paloquemao ,1.3 km,6,4.942820703104401
2213,212.0,Cai Ricaurte ,1.4 km,8,4.942820703104401
2217,212.0,Cai Santa Isabel  ,1.4 km,8,4.942820703104401
2353,54.0,Cai Colina Campestre ,0.7 km,4,10.23806100125259
2473,11.0,Cai Villa Del Rio ,2.1 km,6,15.525693658555944
2485,11.0,Cai Britalia ,2.1 km,8,15.525693658555944
2486,11.0,Cai Oneida ,2.1 km,7,15.525693658555944
2493,11.0,Estación Kennedy ,0.9 km,5,15.525693658555944
2497,11.0,Cai Timiza ,1.4 km,5,15.525693658555944
2503,11.0,Cai Socorro ,1.5 km,7,15.525693658555944
2711,233.0,Estación Barrios Unidos ,2.5 km,7,1.1679465651794496
2712,233.0,Cai Polo Club ,2.1 km,8,1.1679465651794496
2713,233.0,Cai Modelo ,1.8 km,7,1.1679465651794496
2714,233.0,Cai Siete De Agosto ,1.2 km,5,1.1679465651794496
2715,233.0,Cai Alcanzares ,1.0 km,4,1.1679465651794496
2879,213.0,Estación Teusaquillo ,1.7 km,7,2.878816391520804
